Township,Area_Raw,Area_Clean,Area_Key,State,State_Clean,Tenure,Type,Type_Clean,Primary_Type,Category,Median_Price,Median_PSF,Transactions
TAMAN SUNGAI KAPAR INDAH,Kapar,KAPAR,SELANGOR | KAPAR,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,450000.0,346.0,27
TAMAN RAWANG PERDANA,Rawang,RAWANG,SELANGOR | RAWANG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,460000.0,322.0,27
TAMAN KLEBANG RIA,Chemor,CHEMOR,PERAK | CHEMOR,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,398800.0,279.0,27
TAMAN SELAYANG MUTIARA,Selayang,SELAYANG,SELANGOR | SELAYANG,Selangor,SELANGOR,Leasehold,Semi D,Semi D,Semi D,Landed,450000.0,204.0,27
TAMAN DESA PUTERA,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Mixed,Terrace House,Terrace House,Terrace House,Landed,548000.0,395.0,27
BANDAR AMANJAYA (ZON MAWAR),Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,"Terrace House, Bungalow","Bungalow, Terrace House",Bungalow,Landed,240000.0,168.0,27
TAMAN DESA MURNI,Butterworth,BUTTERWORTH,PENANG | BUTTERWORTH,Penang,PENANG,Mixed,"Terrace House, Town House","Terrace House, Town House",Terrace House,Landed,350000.0,396.0,27
TAMAN INDAH SATELIT,Tampin,TAMPIN,NEGERI SEMBILAN | TAMPIN,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,285000.0,173.0,27
PELABUHAN KLANG,Port Klang,PORT KLANG,SELANGOR | PORT KLANG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,420000.0,249.0,27
"Teratai Mewah Apartment Block 15,17,19,21",Setapak,SETAPAK,KUALA LUMPUR | SETAPAK,Kuala Lumpur,KUALA LUMPUR,Freehold,Apartment,Apartment,Apartment,High-Rise,250000.0,373.0,27
Seksyen 24 Shah Alam,Shah Alam,SHAH ALAM,SELANGOR | SHAH ALAM,Selangor,SELANGOR,Leasehold,Flat,Flat,Flat,High-Rise,185000.0,292.0,27
Akasia,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Freehold,Apartment,Apartment,Apartment,High-Rise,380000.0,505.0,27
Taman Bunga Raya,Serendah,SERENDAH,SELANGOR | SERENDAH,Selangor,SELANGOR,Leasehold,Flat,Flat,Flat,High-Rise,130000.0,187.0,27
BK 4 - PERUMAHAN KINRARA,Bandar Kinrara,BANDAR KINRARA,SELANGOR | BANDAR KINRARA,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,702500.0,434.0,26
IRAMA SENDAYAN 2B,Labu,LABU,NEGERI SEMBILAN | LABU,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,603444.0,424.0,26
DESA PARK CHEMOR,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Freehold,Cluster House,Cluster House,Cluster House,Landed,338000.0,270.0,26
TAMAN KLEBANG PERDANA,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,513967.0,364.0,26
TAMAN SRI PUTRI,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,540000.0,344.0,26
TAMAN IMPIANA BIDOR,Bidor,BIDOR,PERAK | BIDOR,Perak,PERAK,Mixed,Terrace House,Terrace House,Terrace House,Landed,248960.0,162.0,26
TAMAN DAHLIA,Tampoi,TAMPOI,JOHOR | TAMPOI,Johor,JOHOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,300000.0,288.0,26
TAMAN SEMARAK,Tawau,TAWAU,SABAH | TAWAU,Sabah,SABAH,Leasehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,200000.0,205.0,26
TAMAN MAWAR,Pasir Gudang,PASIR GUDANG,JOHOR | PASIR GUDANG,Johor,JOHOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,390000.0,313.0,26
SEKSYEN 4 BANDAR BARU BANGI,Bangi,BANGI,SELANGOR | BANGI,Selangor,SELANGOR,Leasehold,"Terrace House, Bungalow","Bungalow, Terrace House",Bungalow,Landed,535000.0,279.0,26
TAMAN BISTARI MENGLEMBU,Menglembu,MENGLEMBU,PERAK | MENGLEMBU,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,408000.0,372.0,26
UNI GARDEN,Kota Samarahan,KOTA SAMARAHAN,SARAWAK | KOTA SAMARAHAN,Sarawak,SARAWAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,510000.0,238.0,26
BANDAR PUTERI HILLPARK,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,300000.0,162.0,26
BANDAR BARU PUTRA,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Mixed,Terrace House,Terrace House,Terrace House,Landed,212500.0,159.0,26
BANDAR BARU KOTA PUTRI,Masai,MASAI,JOHOR | MASAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,335000.0,391.0,26
TAMAN PELANGI INDAH,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,904900.0,497.0,26
TAMAN PUTERA/SURIA,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,625000.0,343.0,26
TAMAN BUKIT CHENG,Cheng,CHENG,MELAKA | CHENG,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,370000.0,256.0,26
TAMAN BUKIT JAYA,Ulu Tiram,ULU TIRAM,JOHOR | ULU TIRAM,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,460000.0,310.0,26
BANDAR PUTERI JAYA SEKSYEN 3,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,370000.0,118.0,26
AMVERTON HILLS SUNGAI BULOH,Sungai Buloh,SUNGAI BULOH,SELANGOR | SUNGAI BULOH,Selangor,SELANGOR,Freehold,"Semi D, Bungalow","Bungalow, Semi D",Bungalow,Landed,1703888.0,529.0,26
BANDAR TASIK IDAMAN,Batu Gajah,BATU GAJAH,PERAK | BATU GAJAH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,440300.0,270.0,26
TAMAN ANGSAMAS,Rasah,RASAH,NEGERI SEMBILAN | RASAH,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,205000.0,172.0,26
TAMAN KENARI FASA 1,Kulim,KULIM,KEDAH | KULIM,Kedah,KEDAH,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,300000.0,207.0,26
TAMAN PENAGA MEWAH,Ampangan,AMPANGAN,NEGERI SEMBILAN | AMPANGAN,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,487910.0,349.0,26
TAMAN PUTRA PERMAI,Seri Kembangan,SERI KEMBANGAN,SELANGOR | SERI KEMBANGAN,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,722500.0,342.0,26
TAMAN DESARU UTAMA,Pengerang,PENGERANG,JOHOR | PENGERANG,Johor,JOHOR,Leasehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,330000.0,251.0,26
Sky Peak Residences,Tampoi,TAMPOI,JOHOR | TAMPOI,Johor,JOHOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,445000.0,431.0,26
Almyra Residences,Bangi,BANGI,SELANGOR | BANGI,Selangor,SELANGOR,Freehold,Condominium,Condominium,Condominium,High-Rise,450400.0,471.0,26
UDA UTAMA,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,"Terrace House, Bungalow","Bungalow, Terrace House",Bungalow,Landed,600000.0,324.0,25
TAMAN BANDAR UNIVERSITI PARIT RAJA,Batu Pahat,BATU PAHAT,JOHOR | BATU PAHAT,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,326970.0,209.0,25
TAMAN NUSARI BAYU 1,Bandar Sri Sendayan,BANDAR SRI SENDAYAN,NEGERI SEMBILAN | BANDAR SRI SENDAYAN,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,300000.0,207.0,25
TEMPLER RESIDENCE,Rawang,RAWANG,SELANGOR | RAWANG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,837000.0,518.0,25
TAMAN TTDI GROVE,Bangi,BANGI,SELANGOR | BANGI,Selangor,SELANGOR,Freehold,Semi D,Semi D,Semi D,Landed,1068000.0,334.0,25
TAMAN MAWAR INDAH,Raub,RAUB,PAHANG | RAUB,Pahang,PAHANG,Freehold,Semi D,Semi D,Semi D,Landed,420000.0,131.0,25
SEKSYEN 14,Petaling Jaya,PETALING JAYA,SELANGOR | PETALING JAYA,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,715000.0,333.0,25
TAMAN PERDANA,Simpang Ampat,SIMPANG AMPAT,PENANG | SIMPANG AMPAT,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,575000.0,374.0,25
TAMAN PSJ,Sungai Karang,SUNGAI KARANG,PAHANG | SUNGAI KARANG,Pahang,PAHANG,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,265000.0,206.0,25
BANDAR MUTIARA,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,280000.0,186.0,25
TAMAN ANGKASA NURI,Durian Tunggal,DURIAN TUNGGAL,MELAKA | DURIAN TUNGGAL,Melaka,MELAKA,Leasehold,Terrace House,Terrace House,Terrace House,Landed,280000.0,213.0,25
TAMAN EHSAN,Kepong,KEPONG,SELANGOR | KEPONG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,505000.0,305.0,25
TAMAN PUTERI JAYA,Batu Pahat,BATU PAHAT,JOHOR | BATU PAHAT,Johor,JOHOR,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,468000.0,286.0,25
BANDAR TROPICANA AMAN,Tanjong Duabelas,TANJONG DUABELAS,SELANGOR | TANJONG DUABELAS,Selangor,SELANGOR,Leasehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,1300000.0,488.0,25
TAMAN BUKIT TERATAI,Ampang,AMPANG,SELANGOR | AMPANG,Selangor,SELANGOR,Leasehold,"Terrace House, Town House","Terrace House, Town House",Terrace House,Landed,505000.0,442.0,25
Permata Apartment,Bukit Mertajam,BUKIT MERTAJAM,PENANG | BUKIT MERTAJAM,Penang,PENANG,Freehold,Apartment,Apartment,Apartment,High-Rise,180000.0,288.0,25
Savanna Executive Suite @ Southville City,Bangi,BANGI,SELANGOR | BANGI,Selangor,SELANGOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,360000.0,376.0,25
Idaman Selasih,Bayan Lepas,BAYAN LEPAS,PENANG | BAYAN LEPAS,Penang,PENANG,Freehold,Flat,Flat,Flat,High-Rise,320000.0,472.0,25
Bandar Tasik Selatan (Low Cost),Bandar Tasik Selatan,BANDAR TASIK SELATAN,KUALA LUMPUR | BANDAR TASIK SELATAN,Kuala Lumpur,KUALA LUMPUR,Leasehold,Flat,Flat,Flat,High-Rise,190000.0,282.0,25
Pelangi Utama,Bandar Utama,BANDAR UTAMA,SELANGOR | BANDAR UTAMA,Selangor,SELANGOR,Leasehold,Condominium,Condominium,Condominium,High-Rise,480000.0,460.0,25
Jasa,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Leasehold,Flat,Flat,Flat,High-Rise,150000.0,244.0,25
Taman Mutiara,Labuan,LABUAN,LABUAN | LABUAN,Labuan,LABUAN,Leasehold,Flat,Flat,Flat,High-Rise,130000.0,169.0,25
Taman Sri Tanjung,Semenyih,SEMENYIH,SELANGOR | SEMENYIH,Selangor,SELANGOR,Freehold,Apartment,Apartment,Apartment,High-Rise,296400.0,302.0,25
Taman Pulai Utama,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,Flat,Flat,Flat,High-Rise,150000.0,228.0,25
Taman Pauh Indah,Perai,PERAI,PENANG | PERAI,Penang,PENANG,Freehold,Flat,Flat,Flat,High-Rise,185000.0,316.0,25
Pelangi Damansara,Bandar Utama,BANDAR UTAMA,SELANGOR | BANDAR UTAMA,Selangor,SELANGOR,Leasehold,Apartment,Apartment,Apartment,High-Rise,450000.0,576.0,25
SuriaMas Suites,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Leasehold,Service Residence,Service Residence,Service Residence,High-Rise,400000.0,426.0,25
Trefoil,Setia Alam,SETIA ALAM,SELANGOR | SETIA ALAM,Selangor,SELANGOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,300000.0,548.0,25
Residensi Adelia,Bangi,BANGI,SELANGOR | BANGI,Selangor,SELANGOR,Freehold,Condominium,Condominium,Condominium,High-Rise,350000.0,323.0,25
SS5 PETALING JAYA,Petaling Jaya,PETALING JAYA,SELANGOR | PETALING JAYA,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,700000.0,378.0,24
TAMAN LAVENDER HEIGHTS,Senawang,SENAWANG,NEGERI SEMBILAN | SENAWANG,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Bungalow,Bungalow,Bungalow,Landed,440000.0,232.0,24
"ELEMEN @ 18, PENGKALAN",Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,Cluster House,Cluster House,Cluster House,Landed,428000.0,168.0,24
TAMAN MAWAR,Sandakan,SANDAKAN,SABAH | SANDAKAN,Sabah,SABAH,Leasehold,Terrace House,Terrace House,Terrace House,Landed,325000.0,273.0,24
TAMAN SATU KRUBONG,Krubong,KRUBONG,MELAKA | KRUBONG,Melaka,MELAKA,Freehold,"Terrace House, Bungalow","Bungalow, Terrace House",Bungalow,Landed,685000.0,234.0,24
TAMAN INDERAWASIH,Perai,PERAI,PENANG | PERAI,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,514000.0,318.0,24
BANDAR BUKIT MAHKOTA,Bangi,BANGI,SELANGOR | BANGI,Selangor,SELANGOR,Freehold,"Cluster House, Terrace House, Semi D","Semi D, Cluster House, Terrace House",Semi D,Landed,447500.0,337.0,24
TAMAN BUKIT GALENA,Seremban,SEREMBAN,NEGERI SEMBILAN | SEREMBAN,Negeri Sembilan,NEGERI SEMBILAN,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,492500.0,276.0,24
TAMAN NUSANTARA PRIMA,Gelang Patah,GELANG PATAH,JOHOR | GELANG PATAH,Johor,JOHOR,Freehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,675000.0,337.0,24
TAMAN NUSA INDAH,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,650000.0,427.0,24
TAMAN BANTING BARU,Banting,BANTING,SELANGOR | BANTING,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,315000.0,248.0,24
TAMAN JASMIN,Kajang,KAJANG,SELANGOR | KAJANG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,442000.0,357.0,24
TAMAN NURI,Durian Tunggal,DURIAN TUNGGAL,MELAKA | DURIAN TUNGGAL,Melaka,MELAKA,Freehold,"Cluster House, Semi D","Semi D, Cluster House",Semi D,Landed,699000.0,213.0,24
TAMAN NUSA INTAN,Ampangan,AMPANGAN,NEGERI SEMBILAN | AMPANGAN,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,382500.0,231.0,24
TAMAN UNIVERSITI INDAH,Seri Kembangan,SERI KEMBANGAN,SELANGOR | SERI KEMBANGAN,Selangor,SELANGOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,582500.0,477.0,24
TAMAN KERJASAMA,Bukit Baru,BUKIT BARU,MELAKA | BUKIT BARU,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,380000.0,245.0,24
SRI INDERAPURA,Kuantan,KUANTAN,PAHANG | KUANTAN,Pahang,PAHANG,Leasehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,192500.0,150.0,24
TAMAN BUKIT RANGIN PERDANA 1 & 2,Kuantan,KUANTAN,PAHANG | KUANTAN,Pahang,PAHANG,Leasehold,Terrace House,Terrace House,Terrace House,Landed,225000.0,173.0,24
TAMAN SRI SERDANG,Seri Kembangan,SERI KEMBANGAN,SELANGOR | SERI KEMBANGAN,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,420000.0,286.0,24
SEKSYEN 13 SHAH ALAM,Shah Alam,SHAH ALAM,SELANGOR | SHAH ALAM,Selangor,SELANGOR,Leasehold,"Bungalow, Terrace House, Semi D","Bungalow, Semi D, Terrace House",Bungalow,Landed,1750000.0,452.0,24
BANDAR SULTAN SULAIMAN,Kapar,KAPAR,SELANGOR | KAPAR,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,260000.0,251.0,24
TAMAN MAWAR,Serendah,SERENDAH,SELANGOR | SERENDAH,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,398040.0,306.0,24
DESA RESTU,Sepang,SEPANG,SELANGOR | SEPANG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,575000.0,437.0,24
COUNTRY VILLAS,Bemban,BEMBAN,MELAKA | BEMBAN,Melaka,MELAKA,Leasehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,645000.0,388.0,24
Koi Kinrara,Puchong,PUCHONG,SELANGOR | PUCHONG,Selangor,SELANGOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,560000.0,532.0,24
Puncak Erskine,Tanjong Tokong,TANJONG TOKONG,PENANG | TANJONG TOKONG,Penang,PENANG,Freehold,Apartment,Apartment,Apartment,High-Rise,175000.0,290.0,24
Subang Perdana Goodyear Court 10,Subang Jaya,SUBANG JAYA,SELANGOR | SUBANG JAYA,Selangor,SELANGOR,Freehold,Apartment,Apartment,Apartment,High-Rise,374000.0,368.0,24
The Park Residences 1,Kampung Kerinchi (Bangsar South),KAMPUNG KERINCHI (BANGSAR SOUTH),KUALA LUMPUR | KAMPUNG KERINCHI (BANGSAR SOUTH),Kuala Lumpur,KUALA LUMPUR,Leasehold,Condominium,Condominium,Condominium,High-Rise,1180000.0,601.0,24
Taman Cendana,Pasir Gudang,PASIR GUDANG,JOHOR | PASIR GUDANG,Johor,JOHOR,Leasehold,Flat,Flat,Flat,High-Rise,130000.0,251.0,24
Pangsapuri Kasuarina,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Freehold,Apartment,Apartment,Apartment,High-Rise,380000.0,420.0,24
TAMAN DESA CHEMOR IMPIAN,Chemor,CHEMOR,PERAK | CHEMOR,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,342240.0,244.0,23
TAMAN YPJ PUNGGAI,Pengerang,PENGERANG,JOHOR | PENGERANG,Johor,JOHOR,Mixed,Terrace House,Terrace House,Terrace House,Landed,278800.0,199.0,23
PINGGIRAN BAYU (MANTAU),Rasah,RASAH,NEGERI SEMBILAN | RASAH,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,488000.0,349.0,23
RASAH KEMAYAN (KEMAYAN COUNTRY TOWNSHIP),Rasah,RASAH,NEGERI SEMBILAN | RASAH,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Bungalow,Bungalow,Bungalow,Landed,620000.0,128.0,23
LEMBAH BERINGIN,Kuala Kubu Baru,KUALA KUBU BARU,SELANGOR | KUALA KUBU BARU,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,155000.0,70.0,23
SEKSYEN 27 SHAH ALAM,Shah Alam,SHAH ALAM,SELANGOR | SHAH ALAM,Selangor,SELANGOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,700000.0,376.0,23
TAMAN RAPAT PERMAI,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,368000.0,223.0,23
TIMUR,Bandar Enstek,BANDAR ENSTEK,NEGERI SEMBILAN | BANDAR ENSTEK,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,570000.0,264.0,23
TAMAN BUKIT RAHMAN PUTRA,Sungai Buloh,SUNGAI BULOH,SELANGOR | SUNGAI BULOH,Selangor,SELANGOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,700000.0,424.0,23
TAMAN MERDEKA JAYA (AERONOTIK TAIPAN),Batu Berendam,BATU BERENDAM,MELAKA | BATU BERENDAM,Melaka,MELAKA,Leasehold,Terrace House,Terrace House,Terrace House,Landed,300000.0,227.0,23
TAMAN AMAN PERDANA,Kapar,KAPAR,SELANGOR | KAPAR,Selangor,SELANGOR,Freehold,Semi D,Semi D,Semi D,Landed,850000.0,321.0,23
SETAPAK JAYA,Setapak,SETAPAK,KUALA LUMPUR | SETAPAK,Kuala Lumpur,KUALA LUMPUR,Leasehold,Cluster House,Cluster House,Cluster House,Landed,240000.0,385.0,23
TAMAN KLEBANG JAYA,Chemor,CHEMOR,PERAK | CHEMOR,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,200000.0,167.0,23
BANDAR BARU KUNDANG,Rawang,RAWANG,SELANGOR | RAWANG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,642630.0,456.0,23
TAMAN KELEMAK UTAMA,Alor Gajah,ALOR GAJAH,MELAKA | ALOR GAJAH,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,398760.0,306.0,23
SEKSYEN 21,Petaling Jaya,PETALING JAYA,SELANGOR | PETALING JAYA,Selangor,SELANGOR,Freehold,"Terrace House, Bungalow","Bungalow, Terrace House",Bungalow,Landed,763000.0,493.0,23
BANDAR BUKIT TINGGI,Pandamaran,PANDAMARAN,SELANGOR | PANDAMARAN,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,686000.0,455.0,23
Amara,Batu Caves,BATU CAVES,SELANGOR | BATU CAVES,Selangor,SELANGOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,430000.0,440.0,23
I-Park Apartment,Sungai Ara,SUNGAI ARA,PENANG | SUNGAI ARA,Penang,PENANG,Freehold,Flat,Flat,Flat,High-Rise,250000.0,375.0,23
Juta Mines,Seri Kembangan,SERI KEMBANGAN,SELANGOR | SERI KEMBANGAN,Selangor,SELANGOR,Leasehold,Condominium,Condominium,Condominium,High-Rise,450000.0,370.0,23
Beverly Hills 2,Kota Kinabalu,KOTA KINABALU,SABAH | KOTA KINABALU,Sabah,SABAH,Leasehold,Apartment,Apartment,Apartment,High-Rise,300000.0,372.0,23
Solaris Dutamas,Dutamas,DUTAMAS,KUALA LUMPUR | DUTAMAS,Kuala Lumpur,KUALA LUMPUR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,900000.0,801.0,23
Pangsapuri Perdana Villa,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Freehold,Apartment,Apartment,Apartment,High-Rise,300000.0,310.0,23
D'Esplanade Residence,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,550000.0,673.0,23
The Platino Serviced Apartment,Tampoi,TAMPOI,JOHOR | TAMPOI,Johor,JOHOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,601900.0,666.0,23
Sri Impian Apartment,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Leasehold,Apartment,Apartment,Apartment,High-Rise,280000.0,292.0,23
Taman Alor Vista,Bayan Lepas,BAYAN LEPAS,PENANG | BAYAN LEPAS,Penang,PENANG,Freehold,Apartment,Apartment,Apartment,High-Rise,200000.0,387.0,23
Seremban Putra,Sikamat,SIKAMAT,NEGERI SEMBILAN | SIKAMAT,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Apartment,Apartment,Apartment,High-Rise,185000.0,221.0,23
Mutiara Idaman 1,Jelutong,JELUTONG,PENANG | JELUTONG,Penang,PENANG,Leasehold,Flat,Flat,Flat,High-Rise,282000.0,452.0,23
Taman Pandan Indah,Ampang,AMPANG,SELANGOR | AMPANG,Selangor,SELANGOR,Leasehold,Flat,Flat,Flat,High-Rise,175000.0,264.0,23
TAMAN RASAH JAYA II,Rasah,RASAH,NEGERI SEMBILAN | RASAH,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,235000.0,182.0,22
TAMAN GOPENG MEWAH,Gopeng,GOPENG,PERAK | GOPENG,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,277235.0,167.0,22
TAMAN LANG RESIDENCES,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,459800.0,328.0,22
ASTANA PARK HOMES - VILLA NATURA,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,"Terrace House, Semi D, Bungalow","Bungalow, Semi D, Terrace House",Bungalow,Landed,378000.0,202.0,22
TAMAN PERPADUAN KOPERASI,Tambun,TAMBUN,PERAK | TAMBUN,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,342500.0,216.0,22
DESA SETAPAK,Wangsa Maju,WANGSA MAJU,KUALA LUMPUR | WANGSA MAJU,Kuala Lumpur,KUALA LUMPUR,Freehold,Terrace House,Terrace House,Terrace House,Landed,413500.0,659.0,22
TAMAN DESA,Muar,MUAR,JOHOR | MUAR,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,490000.0,295.0,22
TAMAN KAMPAR PUTRA,Kampar,KAMPAR,PERAK | KAMPAR,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,259000.0,159.0,22
TAMAN MERAK,Simpang Ampat,SIMPANG AMPAT,PENANG | SIMPANG AMPAT,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,297500.0,291.0,22
TAMAN SRI LAYANG,Mentakab,MENTAKAB,PAHANG | MENTAKAB,Pahang,PAHANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,170000.0,160.0,22
TAMAN PUSING PERMAI,Pusing,PUSING,PERAK | PUSING,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,273800.0,229.0,22
DESA COALFIELDS,Ijok,IJOK,SELANGOR | IJOK,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,467500.0,324.0,22
