Township,Area_Raw,Area_Clean,Area_Key,State,State_Clean,Tenure,Type,Type_Clean,Primary_Type,Category,Median_Price,Median_PSF,Transactions
PULAU SERAI / G BINJAI / DARAT PELANDANG,Dungun,DUNGUN,TERENGGANU | DUNGUN,Terengganu,TERENGGANU,Freehold,"Bungalow, Semi D","Bungalow, Semi D",Bungalow,Landed,340000.0,111.0,15
TAMAN DELIMA,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,260000.0,115.0,15
TAMAN MALURI,Cheras,CHERAS,KUALA LUMPUR | CHERAS,Kuala Lumpur,KUALA LUMPUR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,780000.0,303.0,15
TAMAN INTAN MAS I & III,Teluk Intan,TELUK INTAN,PERAK | TELUK INTAN,Perak,PERAK,Mixed,Terrace House,Terrace House,Terrace House,Landed,476888.0,255.0,15
TAMAN TASIK SEMENYIH,Semenyih,SEMENYIH,SELANGOR | SEMENYIH,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,465000.0,150.0,15
SEKSYEN 5 - KOTA DAMANSARA,Kota Damansara,KOTA DAMANSARA,SELANGOR | KOTA DAMANSARA,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,930000.0,528.0,15
NUSA DUTA,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,"Cluster House, Semi D","Semi D, Cluster House",Semi D,Landed,1350000.0,397.0,15
TAMAN TERENDAK PERMAI,Sungai Udang,SUNGAI UDANG,MELAKA | SUNGAI UDANG,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,270000.0,175.0,15
TAMAN KANTAN PERMAI,Kajang,KAJANG,SELANGOR | KAJANG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,370000.0,361.0,15
TAMAN SAGA INDAH,Mentakab,MENTAKAB,PAHANG | MENTAKAB,Pahang,PAHANG,Leasehold,Terrace House,Terrace House,Terrace House,Landed,219000.0,157.0,15
